month,date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
jan,1,N/A,19,38,52,36,25,34,20,27,28,24,26,32,30
jan,2,N/A,15,47,39,29,25,20,30,17,17,26,21,24,22
jan,3,N/A,16,40,45,42,27,13,16,16,16,34,17,22,23
jan,4,N/A,15,44,42,53,26,20,21,16,30,40,19,20,24
jan,5,N/A,18,41,47,50,27,19,22,16,55,45,16,21,27
jan,6,N/A,17,49,40,33,38,13,39,18,36,30,16,16,24
jan,7,N/A,17,46,28,34,45,15,40,22,27,28,16,14,27
jan,8,N/A,21,46,29,51,45,23,35,17,51,32,21,28,32
jan,9,N/A,23,49,34,23,37,29,24,15,58,29,18,30,30
jan,10,N/A,19,53,33,11,30,20,23,20,47,36,19,27,27
jan,11,N/A,18,55,40,10,40,12,30,19,35,45,17,28,26
jan,12,N/A,20,43,35,10,44,12,21,20,40,20,24,29,24
jan,13,N/A,26,38,33,15,48,14,15,23,80,24,30,25,26
jan,14,N/A,24,50,36,27,44,14,25,19,45,38,28,24,33
jan,15,N/A,16,41,35,34,30,18,34,21,34,55,30,25,35
jan,16,N/A,17,52,35,33,27,19,36,13,30,45,17,36,27
jan,17,N/A,19,53,38,48,35,26,33,22,38,47,10,37,25
jan,18,N/A,20,55,33,58,42,25,29,29,51,52,14,45,23
jan,19,N/A,17,46,31,62,56,33,27,31,43,45,19,44,19
jan,20,N/A,20,46,41,60,58,27,32,25,51,53,15,36,18
jan,21,N/A,14,44,50,44,67,29,34,21,57,57,17,36,23
jan,22,N/A,13,51,46,32,47,21,23,26,110,56,12,38,29
jan,23,N/A,13,44,53,27,19,24,26,31,31,58,16,35,31
jan,24,N/A,14,32,46,34,24,21,18,23,34,58,19,42,38
jan,25,N/A,14,33,45,N/A,6,19,19,25,34,40,15,47,38
jan,26,N/A,14,38,41,41,6,15,19,27,46,43,18,51,34
jan,27,N/A,16,49,61,45,13,20,26,44,45,47,20,56,34
jan,28,N/A,16,45,63,42,27,24,24,44,50,43,18,55,41
jan,29,N/A,21,43,43,46,33,28,25,46,42,50,14,49,33
